"HubSpot Field Name","Salesforce Field Name","Sync Rule"
accounting_connection__c,accounting_connection__c,"Prefer Salesforce unless blank"
accounting_software__c,accounting_software__c,"Prefer Salesforce unless blank"
accounting__c,accounting__c,"Prefer Salesforce unless blank"
accountsource,accountsource,"Two way"
accounts_manager,account_manager__c,"Always use Salesforce"
account_record_type_id,recordtypeid,"Two way"
account_tag__c,account_tag__c,"Two way"
annualrevenue,annualrevenue,"Prefer Salesforce unless blank"
average_monthly_balance,"average_monthly_balance__c","Always use Salesforce"
balance__c,balance__c,"Prefer Salesforce unless blank"
banking_connection__c,banking_connection__c,"Prefer Salesforce unless blank"
bank_balance___current,"checking_deposit_balance_current__c","Always use Salesforce"
billing_cycle_ends__c,billing_cycle_ends__c,"Prefer Salesforce unless blank"
booked_card_spend__c,booked_card_spend__c,"Prefer Salesforce unless blank"
budget_created_date__c,budget_created_date__c,"Prefer Salesforce unless blank"
business_id__c,business_id__c,"Prefer Salesforce unless blank"
card_spend_sum__c,card_spend_sum__c,"Prefer Salesforce unless blank"
card_type__c,card_type__c,"Prefer Salesforce unless blank"
cashback__c,cashback__c,"Prefer Salesforce unless blank"
cash_at_rho__c,cash_at_rho__c,"Prefer Salesforce unless blank"
charge_card__c,charge_card__c,"Two way"
"checking_deposit_balance___2_months_ago","checking_deposit_balance_2_months_ago__c","Always use Salesforce"
"checking_deposit_balance___3_months_ago","checking_deposit_balance_3_months_ago__c","Always use Salesforce"
"checking_deposit_balance___last_month","checking_deposit_balance_last_month__c","Always use Salesforce"
churn_risk_date_c__c,churn_risk_date_c__c,"Prefer Salesforce unless blank"
churn_risk_detail__c,churn_risk_detail__c,"Prefer Salesforce unless blank"
churn_risk_reason__c,churn_risk_reason__c,"Prefer Salesforce unless blank"
churn_risk__c,churn_risk__c,"Two way"
clearbit_revenue__c,clearbit_revenue__c,"Two way"
cl_change_reason__c,cl_change_reason__c,"Prefer Salesforce unless blank"
corporate_card__c,corporate_card__c,"Prefer Salesforce unless blank"
created_at_date__c,created_at_date__c,"Prefer Salesforce unless blank"
"credit_application_date__c","credit_application_date__c","Prefer Salesforce unless blank"
"credit_application_status__c","credit_application_status__c","Prefer Salesforce unless blank"
credit_approval_date__c,credit_approval_date__c,"Prefer Salesforce unless blank"
credit_contact__c,credit_contact__c,"Prefer Salesforce unless blank"
credit_decline_date__c,credit_decline_date__c,"Prefer Salesforce unless blank"
credit_decline_reason__c,credit_decline_reason__c,"Prefer Salesforce unless blank"
credit_group__c,credit_group__c,"Prefer Salesforce unless blank"
"crunchbase__latest_round_date__c","crunchbase__latest_round_date__c","Prefer Salesforce unless blank"
"crunchbase__latest_round_funding_type__c","crunchbase__latest_round_funding_type__c","Prefer Salesforce unless blank"
"crunchbase__latest_round_money_raised_in_usd__c","crunchbase__latest_round_money_raised_in_usd__c","Prefer Salesforce unless blank"
current_bank__c,current_bank__c,"Prefer Salesforce unless blank"
current_credit_limit__c,current_credit_limit__c,"Prefer Salesforce unless blank"
daca_agreement_date__c,daca_agreement_date__c,"Prefer Salesforce unless blank"
daca_status__c,daca_status__c,"Prefer Salesforce unless blank"
daca_type__c,daca_type__c,"Prefer Salesforce unless blank"
data_source,data_source__c,"Always use Salesforce"
"date_account_came_inbound","date_account_came_inbound__c","Two way"
deposits_captured__c,deposits_captured__c,"Prefer Salesforce unless blank"
ebc_objections__c,ebc_objections__c,"Prefer Salesforce unless blank"
expense_management__c,expense_management__c,"Prefer Salesforce unless blank"
financially_active__c,financially_active__c,"Always use Salesforce"
financials_source__c,financials_source__c,"Prefer Salesforce unless blank"
former_client_date__c,former_client_date__c,"Prefer Salesforce unless blank"
"former_client_reason_detail__c","former_client_reason_detail__c","Prefer Salesforce unless blank"
former_client_reason__c,former_client_reason__c,"Prefer Salesforce unless blank"
founded_year__c,founded_year__c,"Prefer Salesforce unless blank"
"gross_profit___2_months_ago","gross_profit_2_months_ago__c","Always use Salesforce"
"gross_profit___3_months_ago","gross_profit_3_months_ago__c","Always use Salesforce"
gross_profit___all_time,gross_profit_all_time__c,"Always use Salesforce"
"gross_profit___last_month","gross_profit_last_month__c","Always use Salesforce"
gross_profit___mtd,"gross_profit_month_to_date__c","Always use Salesforce"
harmonic_description__c,harmonic_description__c,"Prefer Salesforce unless blank"
hubspot_owner_id,ownerid,"Two way"
icp_category,icp_category__c,"Two way"
incorporation_year__c,incorporation_year__c,"Prefer Salesforce unless blank"
industry,industry,"Prefer Salesforce unless blank"
"initial_card_spend_date__c","initial_card_spend_date__c","Prefer Salesforce unless blank"
initial_credit_limit__c,initial_credit_limit__c,"Prefer Salesforce unless blank"
initial_deposit_date__c,initial_deposit_date__c,"Prefer Salesforce unless blank"
interest_rate__c,interest_rate__c,"Prefer Salesforce unless blank"
interprime_balance__c,interprime_balance__c,"Prefer Salesforce unless blank"
"latest_financials_date__c","latest_financials_date__c","Prefer Salesforce unless blank"
linkedin_url__c,linkedin_url__c,"Prefer Salesforce unless blank"
loc_commitment__c,loc_commitment__c,"Prefer Salesforce unless blank"
name,name,"Prefer Salesforce unless blank"
numberofemployees,numberofemployees,"Don't sync"
onboarding_call_date__c,onboarding_call_date__c,"Prefer Salesforce unless blank"
ownership_type,ownership__c,"Two way"
partnership_type__c,partnership_type__c,"Two way"
partnerstack_lead_key__c,partnerstack_lead_key__c,"Prefer Salesforce unless blank"
"partnerstack_partner_key__c","partnerstack_partner_key__c","Prefer Salesforce unless blank"
passed_compliance__c,passed_compliance__c,"Prefer Salesforce unless blank"
pe_backed__c,pe_backed__c,"Two way"
phone,phone,"Prefer Salesforce unless blank"
"post_closing_obligation__c","post_closing_obligation__c","Prefer Salesforce unless blank"
primary_email__c,primary_email__c,"Prefer Salesforce unless blank"
primary_inbound_channel,"primary_inbound_channel__c","Don't sync"
"rattle_application_date__c","rattle_application_date__c","Prefer Salesforce unless blank"
referrer__account,referrer__c,"Two way"
"relationship_length_months__c","relationship_length_months__c","Prefer Salesforce unless blank"
repayment_period__c,repayment_period__c,"Prefer Salesforce unless blank"
risk_assessment__c,risk_assessment__c,"Prefer Salesforce unless blank"
