"HubSpot Field Name","Salesforce Field Name","Sync Rule"
address,mailingstreet,"Prefer Salesforce unless blank"
address,street,"Prefer Salesforce unless blank"
annualrevenue,annualrevenue,"Two way"
apollo_tag,seamless_lists__c,"Two way"
apollo_tag,tag__c,"Two way"
application_status,"application_status_signup__c","Two way"
blog_subscriber_,blog_subscriber__c,"Two way"
businessid,business_id_signup__c,"Two way"
businessid,global_business_id__c,"Prefer Salesforce unless blank"
business_structure,"business_structure_signup__c","Two way"
campaign_id,campaign_id__c,"Two way"
city,city,"Two way"
city,mailingcity,"Two way"
company,company,"Two way"
company_headcount__c,company_headcount__c,"Prefer Salesforce unless blank"
company_size,company_size_linkedin__c,"Two way"
"consent_communications__c","consent_communications__c","Two way"
consent_process_data__c,consent_process_data__c,"Two way"
contact_outreach_id__c,contact_outreach_id__c,"Prefer Salesforce unless blank"
convert_to_contact,convert_to_contact__c,"Two way"
country,country,"Two way"
country,mailingcountry,"Two way"
create_opportunity_,create_opportunity__c,"Two way"
current_ap,current_ap_provider__c,"Two way"
current_bank,current_bank__c,"Two way"
"current_expense_management","current_expense_management__c","Two way"
"date_account_came_inbound","date_account_came_inbound__c","Two way"
deal_stage,deal_stage__c,"Two way"
demand_gen_bucket,"inbound_channel_bucket__c","Two way"
description,"description_application__c","Two way"
"direct_mail_campaign_sent__c","direct_mail_campaign_sent__c","Two way"
disqualified_,disqualified__c,"Don't sync"
"disqualified_detail_reason__c","disqualified_detail_reason__c","Prefer Salesforce unless blank"
disqualified_reason__c,disqualified_reason__c,"Two way"
"disqualified_reason___application","disqualified_reason_signup__c","Two way"
"dropdown___how_did_you_first_hear_about_rho_","how_did_you_hear_about_us__c","Prefer Salesforce unless blank"
email,email,"Two way"
emailoptout,hasoptedoutofemail,"Two way"
employeescountrange,employees_signup__c,"Two way"
essential_qualifiers,essential_qualifiers__c,"Two way"
estimated_bank_deposits,"estimated_bank_deposits__c","Two way"
"estimated_funding_amount__c","estimated_funding_amount__c","Prefer Salesforce unless blank"
estimate_card_spend,estimated_card_spend__c,"Two way"
event,event__c,"Two way"
exclude_from_router,exclude_from_router__c,"Two way"
fax,fax,"Prefer Salesforce unless blank"
firstname,firstname,"Prefer Salesforce unless blank"
"first_conversion_event_name",first_conversion_page__c,"Two way"
"first_meeting_created_date",first_meeting_created__c,"Two way"
form_submission_date__c,form_submission_date__c,"Two way"
gid_relationship__c,gid_relationship__c,"Always use Salesforce"
headcount__c,headcount__c,"Prefer Salesforce unless blank"
"how_did_you_first_hear_about_rho",hdyhau_other__c,"Two way"
