"HubSpot Field Name","Salesforce Field Name","Sync Rule"
accounting_software__c,accounting_software__c,"Prefer Salesforce unless blank"
"account_activated___initial_transaction_type","activation_initial_transaction_type__c","Two way"
account_source,account_source__c,"Always use Salesforce"
additional_comments__c,additional_comments__c,"Prefer Salesforce unless blank"
additional_services__c,additional_services__c,"Prefer Salesforce unless blank"
amount,amount,"Don't sync"
"application_status___deal","application_status_signup__c","Always use Salesforce"
"application_submitted_date","application_submitted_date__c","Always use Salesforce"
ap__c,ap__c,"Prefer Salesforce unless blank"
bd,ae__c,"Always use Salesforce"
blockers_last_updated__c,blockers_last_updated__c,"Prefer Salesforce unless blank"
blockers__c,blockers__c,"Prefer Salesforce unless blank"
business_description__c,business_description__c,"Prefer Salesforce unless blank"
business_structure,"business_structure_signup__c","Always use Salesforce"
card_terms__c,card_terms__c,"Prefer Salesforce unless blank"
card_type__c,card_type__c,"Prefer Salesforce unless blank"
cashback__c,cashback__c,"Prefer Salesforce unless blank"
cd_notes__c,cd_notes__c,"Prefer Salesforce unless blank"
"churn_prevention_opportunity_type__c","churn_prevention_opportunity_type__c","Prefer Salesforce unless blank"
churn_risk_detail__c,churn_risk_detail__c,"Prefer Salesforce unless blank"
churn_risk_reason__c,churn_risk_reason__c,"Prefer Salesforce unless blank"
closedate,closedate,"Two way"
"closed_lost_reason_detail__c","closed_lost_reason_detail__c","Prefer Salesforce unless blank"
closed_lost_reason__c,closed_lost_reason__c,"Prefer Salesforce unless blank"
"closed_won_reason_detail__c","closed_won_reason_detail__c","Prefer Salesforce unless blank"
closed_won_reason__c,closed_won_reason__c,"Prefer Salesforce unless blank"
"closed_won_sub_reasons__c","closed_won_sub_reasons__c","Prefer Salesforce unless blank"
commit_card_spend__c,commit_card_spend__c,"Two way"
compliance_denial_reason,"compliance_denial_reason__c","Always use Salesforce"
compliance_dri,compliance_dri__c,"Always use Salesforce"
compliance_notes,compliance_notes__c,"Always use Salesforce"
compliance_status,compliance_status__c,"Always use Salesforce"
corporate_card__c,corporate_card__c,"Prefer Salesforce unless blank"
createdate,createddate,"Always use Salesforce"
credit_approved__c,credit_approved__c,"Two way"
"credit_app_completed_date","credit_app_completed_date_signup__c","Always use Salesforce"
credit_app_started_date,"credit_application_started_date__c","Always use Salesforce"
current_bank__c,current_bank__c,"Prefer Salesforce unless blank"
current_sequence_name__c,current_sequence_name__c,"Prefer Salesforce unless blank"
custom_volume__c,custom_volume__c,"Two way"
"date_account_came_inbound","date_account_came_inbound__c","Two way"
dealname,name,"Two way"
dealstage,stagename,"Always use Salesforce"
dealtype,type,"Two way"
deposits__c,deposits__c,"Prefer Salesforce unless blank"
description,description,"Two way"
desired_credit_limit__c,desired_credit_limit__c,"Prefer Salesforce unless blank"
"discovery_call_completed__c","discovery_call_completed__c","Two way"
disqualified_detail__c,disqualified_detail__c,"Prefer Salesforce unless blank"
disqualified_reason__c,disqualified_reason__c,"Prefer Salesforce unless blank"
ebc_objections__c,ebc_objections__c,"Prefer Salesforce unless blank"
event_type__c,event_type__c,"Two way"
event__c,event__c,"Two way"
exclusivity__c,exclusivity__c,"Prefer Salesforce unless blank"
existing_rho_client__c,existing_rho_client__c,"Two way"
"expedited_account_opening__c","expedited_account_opening__c","Two way"
expense_management__c,expense_management__c,"Prefer Salesforce unless blank"
"final_contract_executed_date__c","final_contract_executed_date__c","Prefer Salesforce unless blank"
finished_sequences__c,finished_sequences__c,"Prefer Salesforce unless blank"
forecasted_card_spend__c,forecasted_card_spend__c,"Prefer Salesforce unless blank"
"forecasted_checking_deposits__c","forecasted_checking_deposits__c","Prefer Salesforce unless blank"
"forecasted_treasury_deposits__c","forecasted_treasury_deposits__c","Prefer Salesforce unless blank"
forecast_reviewed__c,forecast_reviewed__c,"Two way"
"how_did_you_first_hear_about_rho_","how_did_you_hear_about_us__c","Two way"
hubspot_owner_id,ownerid,"Two way"
icp_category,icp_category__c,"Always use Salesforce"
inbound_channel_bucket,"inbound_channel_bucket__c","Two way"
inbound_signup_path,inbound_signup_path__c,"Two way"
inbound_type,inbound_type__c,"Two way"
incomplete_app_owner,incomplete_app_owner__c,"Always use Salesforce"
incomplete_app_owner__c,incomplete_app_owner__c,"Prefer Salesforce unless blank"
industry,industry_signup__c,"Always use Salesforce"
interchange__c,interchange__c,"Prefer Salesforce unless blank"
"last_activity_date___sfdc",last_activity_date__c,"Always use Salesforce"
last_stage__c,last_stage__c,"Prefer Salesforce unless blank"
lead_source,leadsource,"Two way"
level_2,level_2_channel__c,"Always use Salesforce"
level_3,level_3_channel__c,"Always use Salesforce"
"monthly_card_volume_cp__c","monthly_card_volume_cp__c","Prefer Salesforce unless blank"
monthly_card_volume__c,monthly_card_volume__c,"Prefer Salesforce unless blank"
"most_recent_opportunity__c","most_recent_opportunity__c","Two way"
nda_executed__c,nda_executed__c,"Two way"
"negotiation_review_status__c","negotiation_review_status__c","Prefer Salesforce unless blank"
next_step,nextstep,"Prefer Salesforce unless blank"
one_day_card__c,one_day_card__c,"Prefer Salesforce unless blank"
opportunity_created_date,"opportunity_createddate__c","Always use Salesforce"
opportunity_source,opportunity_source__c,"Always use Salesforce"
"outreach_attributed_finished_sequences__c","outreach_attributed_finished_sequences__c","Prefer Salesforce unless blank"
"overall_application_status","overall_application_status__c","Always use Salesforce"
partnership_type__c,partnership_type__c,"Two way"
"partnerstack_partner_key__c","partnerstack_partner_key__c","Prefer Salesforce unless blank"
"pic_l3_source_deal_data_string",hubspot_l3__c,"Two way"
"pic_l3__s0_marketing_inbound__deal_string",marketing_touch_tof__c,"Two way"
"pic_l3__s1_marketing_inbound__deal_string",marketing_touch_sql__c,"Two way"
"pic_l3__s2_marketing_inbound__deal_string","marketing_touch_app_submitted__c","Two way"
"pic_l3__s3_marketing_inbound__deal_string","marketing_touch_app_approved__c","Two way"
"pic_l3__s4_marketing_inbound__deal_string","marketing_touch_account_activated__c","Two way"
pipeline,recordtypeid,"Always use Salesforce"
please_specify_,hdyhau_please_specify__c,"Two way"
primary_card__c,primary_card__c,"Prefer Salesforce unless blank"
primary_inbound_channel,"primary_inbound_channel__c","Two way"
qualification_date__c,qualification_date__c,"Prefer Salesforce unless blank"
"ramp_committed_card_spend__c","ramp_committed_card_spend__c","Prefer Salesforce unless blank"
"random_number_generator__c","random_number_generator__c","Prefer Salesforce unless blank"
rattle_dealroom__c,rattle_dealroom__c,"Prefer Salesforce unless blank"
rebate_requested__c,rebate_requested__c,"Prefer Salesforce unless blank"
recommendation__c,recommendation__c,"Prefer Salesforce unless blank"
referrer___account,referrer_new__c,"Two way"
rho_use_case__c,rho_use_case__c,"Prefer Salesforce unless blank"
routing_channel,routing_channel__c,"Always use Salesforce"
sales_notes__c,sales_notes__c,"Prefer Salesforce unless blank"
sal_date__c,sal_date__c,"Prefer Salesforce unless blank"
secondary_card__c,secondary_card__c,"Prefer Salesforce unless blank"
send_for_review__c,send_for_review__c,"Two way"
"sequence_step_number_stamped__c","sequence_step_number_stamped__c","Prefer Salesforce unless blank"
sequence__c,sequence__c,"Prefer Salesforce unless blank"
signup_flow_employees,employees_signup__c,"Always use Salesforce"
sign_up_flow_revenue,"estimated_annual_revenues_signup__c","Always use Salesforce"
source_of_funds,"source_of_funds_signup__c","Two way"
sql_date,sql_date__c,"Two way"
sql_revenue__c,sql_revenue__c,"Prefer Salesforce unless blank"
stage_auto_update__c,stage_auto_update__c,"Two way"
"strategic_gtm_initiatives__c","strategic_gtm_initiatives__c","Two way"
term_sheet_drafted__c,term_sheet_drafted__c,"Prefer Salesforce unless blank"
tier__c,tier__c,"Prefer Salesforce unless blank"
"timestamp_account_activated__c",activated_date__c,"Always use Salesforce"
"timestamp_account_creation_date__c","timestamp_account_creation_date__c","Prefer Salesforce unless blank"
timestamp_closed__c,timestamp_closed__c,"Prefer Salesforce unless blank"
"timestamp_complete_date__c","timestamp_complete_date__c","Prefer Salesforce unless blank"
"timestamp_compliance_date_c__c","timestamp_compliance_date_c__c","Always use Salesforce"
timestamp_declined__c,timestamp_declined__c,"Prefer Salesforce unless blank"
"timestamp_disqualified__c","timestamp_disqualified__c","Prefer Salesforce unless blank"
"timestamp_incomplete_app_date__c","timestamp_incomplete_app_date__c","Prefer Salesforce unless blank"
"timestamp__account_created","application_approved_date__c","Always use Salesforce"
"timestamp__unverified_platform_access","timestamp_unverified_platform_access__c","Always use Salesforce"
treasury__c,treasury__c,"Prefer Salesforce unless blank"
upcoming_call_date__c,upcoming_call_date__c,"Prefer Salesforce unless blank"
update__c,update__c,"Two way"
upsell_card_spend__c,upsell_card_spend__c,"Prefer Salesforce unless blank"
upsell_deposits_new__c,upsell_deposits_new__c,"Prefer Salesforce unless blank"
"upsell_opportunity_notes__c","upsell_opportunity_notes__c","Prefer Salesforce unless blank"
"upsell_opportunity_type__c","upsell_opportunity_type__c","Prefer Salesforce unless blank"
upsell_opportunity__c,upsell_opportunity__c,"Prefer Salesforce unless blank"
upsell_prime_deposits__c,upsell_prime_deposits__c,"Prefer Salesforce unless blank"
"upsell_treasury_deposits__c","upsell_treasury_deposits__c","Prefer Salesforce unless blank"
utm_ad__c,utm_ad__c,"Two way"
utm_campaign__c,utm_campaign__c,"Two way"
utm_content__c,utm_content__c,"Two way"
utm_medium__c,utm_medium__c,"Two way"
utm_source__c,utm_source__c,"Two way"
utm_term__c,utm_term__c,"Two way"
verified_contact,verified_contact__c,"Always use Salesforce"
workflow_timestamp__c,workflow_timestamp__c,"Prefer Salesforce unless blank"
x3pp__c,x3pp__c,"Two way"
